title,author,length
1. Atomic Habits,By: James Clear,Length: 5 hrs and 35 mins
2. Where the Crawdads Sing,By: Delia Owens,Length: 12 hrs and 12 mins
"3. I'd Like to Play Alone, Please",By: Tom Segura,Length: 6 hrs and 4 mins
4. The Liars,By: Sara Shepard,Length: 11 hrs
5. Sparring Partners,By: John Grisham,Length: 9 hrs and 57 mins
6. Verity,By: Colleen Hoover,Length: 8 hrs and 10 mins
7. The Seven Husbands of Evelyn Hugo,By: Taylor Jenkins Reid,Length: 12 hrs and 10 mins
8. The Hotel Nantucket,By: Elin Hilderbrand,Length: 12 hrs and 27 mins
9. Greenlights,By: Matthew McConaughey,Length: 6 hrs and 42 mins
10. Finding Me,By: Viola Davis,Length: 9 hrs and 15 mins
11. Atlas of the Heart,By: Brené Brown,Length: 8 hrs and 29 mins
12. Match Game,By: Craig Alanson,Length: 20 hrs and 20 mins
13. Scars and Stripes,"By: Tim Kennedy, Nick Palmisciano",Length: 15 hrs and 52 mins
14. It Ends with Us,By: Colleen Hoover,Length: 11 hrs and 11 mins
15. The Golden Couple,"By: Greer Hendricks, Sarah Pekkanen",Length: 11 hrs and 3 mins
16. Can't Hurt Me,By: David Goggins,Length: 13 hrs and 37 mins
17. The Subtle Art of Not Giving a F*ck,By: Mark Manson,Length: 5 hrs and 17 mins
"18. Harry Potter and the Sorcerer's Stone, Book 1",By: J.K. Rowling,Length: 8 hrs and 18 mins
19. The End of the World Is Just the Beginning,By: Peter Zeihan,Length: 16 hrs and 44 mins
20. The Terminal List,By: Jack Carr,Length: 12 hrs and 3 mins
21. Happy-Go-Lucky,By: David Sedaris,Length: 7 hrs and 30 mins
22. Remarkably Bright Creatures,By: Shelby Van Pelt,Length: 11 hrs and 16 mins
23. Project Hail Mary,By: Andy Weir,Length: 16 hrs and 10 mins
24. Book Lovers,By: Emily Henry,Length: 11 hrs and 23 mins
25. 12 Rules for Life,"By: Jordan B. Peterson, Norman Doidge MD - foreword",Length: 15 hrs and 40 mins
26. The Body Keeps the Score,By: Bessel A. van der Kolk,Length: 16 hrs and 15 mins
27. Endure,By: Cameron Hanes,Length: 7 hrs and 42 mins
28. In the Blood,By: Jack Carr,Length: 12 hrs and 8 mins
29. Battle for the American Mind,"By: Pete Hegseth, David Goodwin",Length: 9 hrs and 23 mins
30. What Is a Woman?,By: Matt Walsh,Length: 5 hrs and 22 mins
31. How to Win Friends & Influence People,By: Dale Carnegie,Length: 7 hrs and 15 mins
"32. Harry Potter and the Chamber of Secrets, Book 2",By: J.K. Rowling,Length: 9 hrs and 3 mins
"33. Run, Rose, Run","By: James Patterson, Dolly Parton",Length: 10 hrs and 19 mins
34. Rich Dad Poor Dad: 20th Anniversary Edition,By: Robert T. Kiyosaki,Length: 8 hrs and 22 mins
35. The Last Thing He Told Me,By: Laura Dave,Length: 8 hrs and 49 mins
"36. Harry Potter and the Prisoner of Azkaban, Book 3",By: J.K. Rowling,Length: 11 hrs and 49 mins
37. The Paris Apartment,By: Lucy Foley,Length: 12 hrs and 53 mins
"38. Harry Potter and the Goblet of Fire, Book 4",By: J.K. Rowling,Length: 20 hrs and 37 mins
"39. Harry Potter and the Order of the Phoenix, Book 5",By: J.K. Rowling,Length: 26 hrs and 29 mins
40. The Four Agreements,By: don Miguel Ruiz,Length: 2 hrs and 31 mins
41. The Power of One More,By: Ed Mylett,Length: 7 hrs and 30 mins
42. Rough Draft,By: Katy Tur,Length: 7 hrs and 54 mins
43. Spark,"By: John J. Ratey MD, Eric Hagerman - contributor",Length: 9 hrs and 38 mins
"44. Harry Potter and the Deathly Hallows, Book 7",By: J.K. Rowling,Length: 21 hrs and 37 mins
45. 48 Laws of Power,By: Robert Greene,Length: 23 hrs and 6 mins
46. Lessons in Chemistry,By: Bonnie Garmus,Length: 11 hrs and 55 mins
47. Ugly Love,By: Colleen Hoover,Length: 9 hrs and 14 mins
"48. Harry Potter and the Half-Blood Prince, Book 6",By: J.K. Rowling,Length: 18 hrs and 32 mins
49. Never Split the Difference,By: Chris Voss,Length: 8 hrs and 7 mins
50. Dune,By: Frank Herbert,Length: 21 hrs and 2 mins
51. MOX,By: Jon Moxley,Length: 9 hrs and 6 mins
52. Star Fire,By: M.R. Forbes,Length: 7 hrs and 33 mins
53. True Believer,By: Jack Carr,Length: 15 hrs and 44 mins
54. The 7 Habits of Highly Effective People,By: Stephen R. Covey,Length: 13 hrs and 4 mins
55. Extreme Ownership,"By: Jocko Willink, Leif Babin",Length: 9 hrs and 33 mins
56. The Midnight Library,By: Matt Haig,Length: 8 hrs and 50 mins
57. The Primal Hunter 2,By: Zogarth,Length: 19 hrs and 25 mins
58. The Lincoln Highway,By: Amor Towles,Length: 16 hrs and 39 mins
59. What Happened to You?,"By: Oprah Winfrey, Bruce D. Perry",Length: 8 hrs and 27 mins
60. Fairy Tale,By: Stephen King,Length: 24 hrs
61. Savage Son,By: Jack Carr,Length: 12 hrs and 56 mins
62. Together We Will Go,By: J. Michael Straczynski,Length: 9 hrs and 26 mins
63. Think and Grow Rich,By: Napoleon Hill,Length: 9 hrs and 35 mins
64. Born a Crime,By: Trevor Noah,Length: 8 hrs and 44 mins
65. The Psychology of Money,By: Morgan Housel,Length: 5 hrs and 48 mins
66. The Power of Now,By: Eckhart Tolle,Length: 7 hrs and 37 mins
67. River of the Gods,By: Candice Millard,Length: 10 hrs and 2 mins
68. Reminders of Him,By: Colleen Hoover,Length: 10 hrs and 17 mins
69. Every Summer After,By: Carley Fortune,Length: 9 hrs and 38 mins
70. The Alchemist,By: Paulo Coelho,Length: 4 hrs
71. The Silent Patient,By: Alex Michaelides,Length: 8 hrs and 51 mins
72. Tom Clancy Zero Hour,By: Don Bentley,Length: 12 hrs and 30 mins
